a,b,n_nodes,steps,success
10,10,100,58,1
10,10,100,74,1
11,11,121,85,1
11,11,121,68,1
11,11,121,55,1
11,11,121,73,1
11,11,121,54,1
11,11,121,88,1
11,11,121,64,1
11,11,121,91,1
11,11,121,63,1
11,11,121,63,1
11,11,121,76,1
11,11,121,56,1
11,11,121,102,1
11,11,121,88,1
11,11,121,78,1
11,11,121,97,1
11,11,121,96,1
11,11,121,79,1
11,11,121,65,1
11,11,121,65,1
11,11,121,51,1
11,11,121,95,1
11,11,121,71,1
11,11,121,72,1
11,11,121,85,1
11,11,121,78,1
11,11,121,80,1
11,11,121,68,1
11,11,121,84,1
11,11,121,75,1
11,11,121,58,1
11,11,121,49,1
11,11,121,55,1
11,11,121,59,1
11,11,121,68,1
11,11,121,94,1
11,11,121,76,1
11,11,121,71,1
11,11,121,74,1
11,11,121,90,1
11,11,121,79,1
11,11,121,80,1
11,11,121,86,1
11,11,121,70,1
11,11,121,61,1
11,11,121,78,1
11,11,121,71,1
11,11,121,74,1
11,11,121,56,1
11,11,121,75,1
11,11,121,84,1
11,11,121,91,1
11,11,121,78,1
11,11,121,124,1
11,11,121,68,1
11,11,121,99,1
11,11,121,76,1
11,11,121,59,1
11,11,121,78,1
11,11,121,67,1
11,11,121,75,1
11,11,121,94,1
11,11,121,69,1
11,11,121,97,1
11,11,121,64,1
11,11,121,74,1
11,11,121,82,1
11,11,121,96,1
11,11,121,62,1
11,11,121,82,1
11,11,121,91,1
11,11,121,81,1
11,11,121,60,1
11,11,121,52,1
11,11,121,102,1
11,11,121,109,1
11,11,121,61,1
11,11,121,85,1
11,11,121,61,1
11,11,121,70,1
11,11,121,78,1
11,11,121,72,1
11,11,121,71,1
11,11,121,48,1
11,11,121,97,1
11,11,121,105,1
11,11,121,78,1
11,11,121,69,1
11,11,121,79,1
11,11,121,67,1
11,11,121,71,1
11,11,121,84,1
11,11,121,50,1
11,11,121,47,1
11,11,121,69,1
11,11,121,82,1
11,11,121,70,1
11,11,121,85,1
11,11,121,80,1
11,11,121,102,1
12,12,144,98,1
12,12,144,90,1
12,12,144,102,1
12,12,144,81,1
12,12,144,105,1
12,12,144,88,1
12,12,144,59,1
12,12,144,92,1
12,12,144,94,1
12,12,144,94,1
12,12,144,89,1
12,12,144,65,1
12,12,144,83,1
12,12,144,100,1
12,12,144,66,1
12,12,144,114,1
12,12,144,85,1
12,12,144,71,1
12,12,144,89,1
12,12,144,124,1
12,12,144,92,1
12,12,144,87,1
12,12,144,80,1
12,12,144,78,1
12,12,144,104,1
12,12,144,99,1
12,12,144,74,1
12,12,144,82,1
12,12,144,117,1
12,12,144,67,1
12,12,144,65,1
12,12,144,106,1
12,12,144,98,1
12,12,144,75,1
12,12,144,81,1
12,12,144,75,1
12,12,144,88,1
12,12,144,71,1
12,12,144,109,1
12,12,144,102,1
12,12,144,82,1
12,12,144,76,1
12,12,144,81,1
12,12,144,66,1
12,12,144,90,1
12,12,144,119,1
12,12,144,68,1
12,12,144,116,1
12,12,144,96,1
12,12,144,84,1
12,12,144,93,1
12,12,144,112,1
12,12,144,105,1
12,12,144,107,1
12,12,144,61,1
12,12,144,87,1
12,12,144,89,1
12,12,144,64,1
12,12,144,86,1
12,12,144,82,1
12,12,144,89,1
12,12,144,70,1
12,12,144,65,1
12,12,144,75,1
12,12,144,67,1
12,12,144,68,1
12,12,144,97,1
12,12,144,59,1
12,12,144,66,1
12,12,144,139,1
12,12,144,137,1
12,12,144,72,1
12,12,144,83,1
12,12,144,69,1
12,12,144,76,1
12,12,144,75,1
12,12,144,97,1
12,12,144,98,1
12,12,144,68,1
12,12,144,77,1
12,12,144,74,1
12,12,144,91,1
12,12,144,97,1
12,12,144,78,1
12,12,144,60,1
12,12,144,80,1
12,12,144,116,1
12,12,144,86,1
12,12,144,59,1
12,12,144,86,1
12,12,144,69,1
12,12,144,122,1
12,12,144,142,1
12,12,144,76,1
12,12,144,76,1
12,12,144,87,1
12,12,144,121,1
12,12,144,114,1
12,12,144,124,1
12,12,144,70,1
13,13,169,124,1
13,13,169,109,1
13,13,169,69,1
13,13,169,90,1
13,13,169,133,1
13,13,169,53,1
13,13,169,98,1
13,13,169,104,1
13,13,169,124,1
13,13,169,101,1
13,13,169,92,1
13,13,169,96,1
13,13,169,73,1
13,13,169,93,1
13,13,169,71,1
13,13,169,101,1
13,13,169,106,1
13,13,169,78,1
13,13,169,120,1
13,13,169,67,1
13,13,169,100,1
13,13,169,106,1
13,13,169,150,1
13,13,169,112,1
13,13,169,63,1
13,13,169,91,1
13,13,169,129,1
13,13,169,92,1
13,13,169,119,1
13,13,169,122,1
13,13,169,103,1
13,13,169,107,1
13,13,169,109,1
13,13,169,92,1
13,13,169,108,1
13,13,169,101,1
13,13,169,104,1
13,13,169,95,1
13,13,169,89,1
13,13,169,102,1
13,13,169,101,1
13,13,169,75,1
13,13,169,80,1
13,13,169,99,1
13,13,169,84,1
13,13,169,140,1
13,13,169,132,1
13,13,169,108,1
13,13,169,86,1
13,13,169,115,1
13,13,169,117,1
13,13,169,98,1
13,13,169,137,1
13,13,169,81,1
13,13,169,95,1
13,13,169,94,1
13,13,169,83,1
13,13,169,107,1
13,13,169,118,1
13,13,169,101,1
13,13,169,73,1
13,13,169,90,1
13,13,169,80,1
13,13,169,109,1
13,13,169,116,1
13,13,169,123,1
13,13,169,110,1
13,13,169,96,1
13,13,169,101,1
13,13,169,93,1
13,13,169,119,1
13,13,169,54,1
13,13,169,80,1
13,13,169,80,1
13,13,169,95,1
13,13,169,117,1
13,13,169,129,1
13,13,169,121,1
13,13,169,104,1
13,13,169,81,1
13,13,169,133,1
13,13,169,102,1
13,13,169,89,1
13,13,169,108,1
13,13,169,117,1
13,13,169,136,1
13,13,169,109,1
13,13,169,108,1
13,13,169,93,1
13,13,169,74,1
13,13,169,136,1
13,13,169,128,1
13,13,169,72,1
13,13,169,82,1
13,13,169,120,1
13,13,169,79,1
13,13,169,102,1
13,13,169,100,1
13,13,169,159,1
13,13,169,134,1
14,14,196,146,1
14,14,196,130,1
14,14,196,153,1
14,14,196,108,1
14,14,196,135,1
14,14,196,136,1
14,14,196,103,1
14,14,196,145,1
14,14,196,130,1
14,14,196,124,1
14,14,196,183,1
14,14,196,125,1
14,14,196,131,1
14,14,196,226,1
14,14,196,79,1
14,14,196,121,1
14,14,196,142,1
14,14,196,84,1
14,14,196,125,1
14,14,196,117,1
14,14,196,108,1
14,14,196,82,1
14,14,196,151,1
14,14,196,104,1
14,14,196,130,1
14,14,196,123,1
14,14,196,136,1
14,14,196,96,1
14,14,196,109,1
14,14,196,111,1
14,14,196,117,1
14,14,196,115,1
14,14,196,95,1
14,14,196,125,1
14,14,196,101,1
14,14,196,152,1
14,14,196,112,1
14,14,196,138,1
14,14,196,101,1
14,14,196,105,1
14,14,196,188,1
14,14,196,156,1
14,14,196,107,1
14,14,196,163,1
14,14,196,131,1
14,14,196,104,1
14,14,196,97,1
14,14,196,174,1
14,14,196,82,1
14,14,196,104,1
14,14,196,100,1
14,14,196,113,1
14,14,196,148,1
14,14,196,163,1
14,14,196,159,1
14,14,196,83,1
14,14,196,105,1
14,14,196,120,1
14,14,196,123,1
14,14,196,91,1
14,14,196,127,1
14,14,196,144,1
14,14,196,168,1
14,14,196,128,1
14,14,196,147,1
14,14,196,92,1
14,14,196,94,1
14,14,196,150,1
14,14,196,99,1
14,14,196,162,1
14,14,196,157,1
14,14,196,122,1
14,14,196,173,1
14,14,196,120,1
14,14,196,129,1
14,14,196,146,1
14,14,196,133,1
14,14,196,102,1
14,14,196,124,1
14,14,196,99,1
14,14,196,170,1
14,14,196,105,1
14,14,196,138,1
14,14,196,116,1
14,14,196,92,1
14,14,196,137,1
14,14,196,118,1
14,14,196,153,1
14,14,196,146,1
14,14,196,75,1
14,14,196,122,1
14,14,196,101,1
14,14,196,107,1
14,14,196,119,1
14,14,196,83,1
14,14,196,119,1
14,14,196,139,1
14,14,196,76,1
14,14,196,139,1
14,14,196,189,1
15,15,225,164,1
15,15,225,129,1
15,15,225,134,1
15,15,225,142,1
15,15,225,130,1
15,15,225,84,1
15,15,225,191,1
15,15,225,103,1
15,15,225,96,1
15,15,225,154,1
15,15,225,110,1
15,15,225,181,1
15,15,225,156,1
15,15,225,99,1
15,15,225,116,1
15,15,225,127,1
15,15,225,141,1
15,15,225,92,1
15,15,225,191,1
15,15,225,154,1
15,15,225,176,1
15,15,225,113,1
15,15,225,151,1
15,15,225,138,1
15,15,225,147,1
15,15,225,218,1
15,15,225,177,1
15,15,225,238,1
15,15,225,131,1
15,15,225,86,1
15,15,225,123,1
15,15,225,153,1
15,15,225,169,1
15,15,225,140,1
15,15,225,145,1
15,15,225,171,1
15,15,225,158,1
15,15,225,132,1
15,15,225,177,1
15,15,225,120,1
15,15,225,96,1
15,15,225,142,1
15,15,225,169,1
15,15,225,100,1
15,15,225,184,1
15,15,225,108,1
15,15,225,154,1
15,15,225,110,1
15,15,225,131,1
15,15,225,145,1
15,15,225,96,1
15,15,225,130,1
15,15,225,149,1
15,15,225,157,1
15,15,225,123,1
15,15,225,152,1
15,15,225,114,1
15,15,225,140,1
15,15,225,144,1
15,15,225,72,1
15,15,225,102,1
15,15,225,133,1
15,15,225,131,1
15,15,225,130,1
15,15,225,155,1
15,15,225,158,1
15,15,225,129,1
15,15,225,122,1
15,15,225,199,1
15,15,225,126,1
15,15,225,136,1
15,15,225,117,1
15,15,225,152,1
15,15,225,128,1
15,15,225,136,1
15,15,225,138,1
15,15,225,185,1
15,15,225,186,1
15,15,225,133,1
15,15,225,126,1
15,15,225,199,1
15,15,225,119,1
15,15,225,113,1
15,15,225,144,1
15,15,225,148,1
15,15,225,97,1
15,15,225,150,1
15,15,225,127,1
15,15,225,110,1
15,15,225,126,1
15,15,225,141,1
15,15,225,122,1
15,15,225,96,1
